fixture_id	pair	seed	offset	first_index	last_index	multiplicity	ordered_components_json	exact_expected_index	exact_observed_json	exact_max_delta	exact_runtime_discriminating	epsilon	epsilon_expected_last_index	epsilon_observed_json	epsilon_delta_to_last	epsilon_delta_to_first	epsilon_runtime_discriminating	exact_point_status	epsilon_right_status	structural_basis
S15-linear-linear-rgb	linear/linear-rgb	S15	0.5	7	8	2	[[0.7648468017578125,0.18606138229370117,0.040366001427173615,0.24175824224948883],[0.24109652638435364,0.4827357232570648,0.0481090322136879,0.7802197933197021]]	7	[0.7648468017578125,0.18606138229370117,0.040366001427173615,0.24175824224948883]	0	true	0.50000011920928955	8	[0.24109652638435364,0.4827357232570648,0.0481090322136879,0.7802197933197021]	0	0.53846155107021332	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-linear-linear-rgb	linear/linear-rgb	S15	0.625	9	10	2	[[0.24109652638435364,0.4827357232570648,0.0481090322136879,0.7802197933197021],[0.021082259714603424,0.5058255791664124,0.19800524413585663,0.8401574492454529]]	9	[0.24109652638435364,0.4827357232570648,0.0481090322136879,0.7802197933197021]	0	true	0.62500011920928955	10	[0.021082259714603424,0.5058255791664124,0.19800524413585663,0.8401574492454529]	0	0.22001426666975021	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-linear-linear-rgb	linear/linear-rgb	S15	0.75	11	12	2	[[0.021082259714603424,0.5058255791664124,0.19800524413585663,0.8401574492454529],[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]]	11	[0.021082259714603424,0.5058255791664124,0.19800524413585663,0.8401574492454529]	0	true	0.75000011920928955	12	[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]	0	0.27007871866226196	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-linear-linear-rgb	linear/linear-rgb	S15	0.875	13	14	2	[[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909],[0.0,0.17464739084243774,0.693871021270752,0.30000001192092896]]	13	[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]	0	true	0.87500011920928955	14	[0.0,0.17464739084243774,0.693871021270752,0.30000001192092896]	0	0.27007871866226196	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-linear-rgb	radial/linear-rgb	S15	0.125	1	2	2	[[1.0,0.05286065489053726,0.036889538168907166,0.0],[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]]	1	[1.0,0.05286065489053726,0.036889538168907166,0.0]	0	true	0.12500011920928955	2	[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]	0	0.79189187288284302	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-linear-rgb	radial/linear-rgb	S15	0.25	3	4	2	[[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843],[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]]	3	[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]	0	true	0.25000011920928955	4	[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]	0	0.5041869580745697	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-linear-rgb	radial/linear-rgb	S15	0.375	5	6	2	[[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733],[0.7648468017578125,0.18606138229370117,0.040366001427173615,0.24175824224948883]]	5	[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]	0	true	0.37500011920928955	6	[0.7648468017578125,0.18606138229370117,0.040366001427173615,0.24175824224948883]	0	0.42281835526227951	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-linear-rgb	radial/linear-rgb	S15	0.5	7	8	2	[[0.7648468017578125,0.18606138229370117,0.040366001427173615,0.24175824224948883],[0.24109652638435364,0.4827357232570648,0.0481090322136879,0.7802197933197021]]	7	[0.7648468017578125,0.18606138229370117,0.040366001427173615,0.24175824224948883]	0	true	0.50000011920928955	8	[0.24109652638435364,0.4827357232570648,0.0481090322136879,0.7802197933197021]	0	0.53846155107021332	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-linear-rgb	radial/linear-rgb	S15	0.625	9	10	2	[[0.24109652638435364,0.4827357232570648,0.0481090322136879,0.7802197933197021],[0.021082259714603424,0.5058255791664124,0.19800524413585663,0.8401574492454529]]	9	[0.24109652638435364,0.4827357232570648,0.0481090322136879,0.7802197933197021]	0	true	0.62500011920928955	10	[0.021082259714603424,0.5058255791664124,0.19800524413585663,0.8401574492454529]	0	0.22001426666975021	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-linear-rgb	radial/linear-rgb	S15	0.75	11	12	2	[[0.021082259714603424,0.5058255791664124,0.19800524413585663,0.8401574492454529],[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]]	11	[0.021082259714603424,0.5058255791664124,0.19800524413585663,0.8401574492454529]	0	true	0.75000011920928955	12	[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]	0	0.27007871866226196	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S15-radial-linear-rgb	radial/linear-rgb	S15	0.875	13	14	2	[[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909],[0.0,0.17464739084243774,0.693871021270752,0.30000001192092896]]	13	[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]	0	true	0.87500011920928955	14	[0.0,0.17464739084243774,0.693871021270752,0.30000001192092896]	0	0.27007871866226196	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S16-linear-oklab	linear/oklab	S16	0.5	3	4	2	[[0.896699070930481,-0.023979216814041138,0.18350183963775635,1.0],[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]]	3	[0.896699070930481,-0.023979216814041138,0.18350183963775635,1.0]	0	true	0.50000015894571936	4	[0.6595011949539185,0.19973494112491608,0.10818813741207123,1.0]	3.5762786865234375e-07	0.2371978759765625	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S16-radial-oklab	radial/oklab	S16	0.5	3	4	2	[[0.896699070930481,-0.023979216814041138,0.18350183963775635,1.0],[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]]	3	[0.896699070930481,-0.023979216814041138,0.18350183963775635,1.0]	0	true	0.50000015894571936	4	[0.6595011949539185,0.19973494112491608,0.10818813741207123,1.0]	3.5762786865234375e-07	0.2371978759765625	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
S16-linear-linear-rgb	linear/linear-rgb	S16	0.5	3	4	2	[[1.0,0.7156934142112732,0.0,1.0],[1.0,0.05286065489053726,0.036889538168907166,1.0]]	3	[1.0,0.7156934142112732,0.0,1.0]	0	true	0.50000015894571936	4	[0.9999990463256836,0.052861180156469345,0.03688955307006836,1.0]	9.5367431640625e-07	0.66283223405480385	true	MeasuredStructural	MeasuredStructural	ratified-gradient.rs:sample_stops partition rule plus ordered effective stops
