path	prompt	old_hash	hash_a	hash_b	action	metadata_canonical	class	decision
02_shell/src/lib.rs	00_nucleo/prompts/shell.md	806f4053	b3e08b92	a8c743da	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/embedded_fonts.rs	00_nucleo/prompts/infra/embedded_fonts.md	c08c8486	b8a5dea9	24bd12e2	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/bitmap_glyphs.rs	00_nucleo/prompts/infra/export/builder.md	bde988ca	908d63d7	4665b640	would_fix	no	missing_metadata	blocked_partial_write
03_infra/src/export/builder.rs	00_nucleo/prompts/infra/export/builder.md	bde988ca	908d63d7	0327af88	would_fix	no	missing_metadata	blocked_partial_write
03_infra/src/export/fonts.rs	00_nucleo/prompts/infra/export/fonts.md	eb3e7fe6	c03b2bcb	5b920043	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/gradients/adaptive.rs	00_nucleo/prompts/infra/export/gradients/adaptive.md	4456c00d	bf7bb942	fab5f533	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/gradients/cmyk.rs	00_nucleo/prompts/infra/export/gradients/cmyk.md	08b22cb0	851db75e	6de34698	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/gradients/conic.rs	00_nucleo/prompts/infra/export/gradients/conic.md	a605884d	f96414bd	d2240efd	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/gradients/function_dict.rs	00_nucleo/prompts/infra/export/gradients/function_dict.md	483f3927	19fe24a0	97fda67b	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/gradients/linear.rs	00_nucleo/prompts/infra/export/gradients/linear.md	02428077	3e5a2708	1e59d7bf	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/gradients/mod.rs	00_nucleo/prompts/infra/export/gradients/mod.md	e4d072c4	6e0bbd6b	2587497c	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/gradients/radial.rs	00_nucleo/prompts/infra/export/gradients/radial.md	88610ac6	525f3d9e	578a3803	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/gradients/relative.rs	00_nucleo/prompts/infra/export/gradients/relative.md	135808e0	2a0cd499	14c42db6	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/images.rs	00_nucleo/prompts/infra/export/images.md	c3f8e0b4	717f24fe	13c64656	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/mod.rs	00_nucleo/prompts/infra/export/mod.md	d927baca	a181f89d	353ce4a4	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/oracle.rs	00_nucleo/prompts/infra/export/oracle.md	d09b8d55	fe541492	7ce9fe09	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/pdf_defaults.rs	00_nucleo/prompts/infra/export/pdf_defaults.md	b98436c5	3bc99452	61654d67	would_fix	no	missing_metadata	blocked_partial_write
03_infra/src/export/render.rs	00_nucleo/prompts/infra/export/render.md	219ac788	4adefc6e	d7ebd488	would_fix	no	missing_metadata	blocked_partial_write
03_infra/src/export/stream.rs	00_nucleo/prompts/infra/export/stream.md	1a9e0c7c	412e3910	0f5f9079	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/subset.rs	00_nucleo/prompts/infra/export/font_subset.md	c23abdc3	ccbfdfa2	7c2d5724	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/export/svg.rs	00_nucleo/prompts/infra/export/svg.md	f9b6e2c1	c9500ba4	cfe64868	would_fix	no	missing_metadata	blocked_partial_write
03_infra/src/export/tests.rs	00_nucleo/prompts/infra/export/tests.md	243b14db	0194940e	0c915794	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/fallback_fonts.rs	00_nucleo/prompts/infra/shaper.md	8ee1f744	13be1ba1	055c3453	would_fix	no	missing_metadata	blocked_partial_write
03_infra/src/font_metrics.rs	00_nucleo/prompts/infra/font_metrics.md	915cf40e	d087848a	a1d371e8	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/font_variant.rs	00_nucleo/prompts/infra/font_variant.md	8c3d8be1	22fd4e78	f4ea81ad	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/fonts.rs	00_nucleo/prompts/infra/fonts.md	6683dd5e	4db12b47	8b36be59	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/image_sizer.rs	00_nucleo/prompts/infra/image-sizer.md	fbd9209e	86a17fd3	f7916d20	would_fix	yes	single_consumer	candidate_after_linter_fix
03_infra/src/integration_tests.rs	00_nucleo/prompts/infra.md	8e65820e	5626f2b7	841aa746	would_fix	yes	shared_prompt	blocked_multi_consumer
03_infra/src/layout.rs	00_nucleo/prompts/infra/layout.md	7e60dbad	6a154ae1	f8888a93	would_fix	yes	single_consumer	candidate_after_linter_fix
