probe_id	path	profile	previous_runtime_class	current_runtime_class	previous_projection	current_projection	transition	fixture_comparable	complete_literal_equal	universe	measurement_ref	previous_measurement_ref
p1326.argument-order-residual	closure.missing-field.callee	html	NOT_IN_P1322	DIFFERENT_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.argument-order-residual	
p1326.argument-order-residual	closure.missing-field.callee	a11y	NOT_IN_P1322	DIFFERENT_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.argument-order-residual	
p1326.argument-order-residual	closure.missing-field.callee	html+a11y	NOT_IN_P1322	DIFFERENT_DIAGNOSTIC			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1326.argument-order-residual	
p1327.std	p1327.std	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.std	
p1327.std	p1327.std	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.std	
p1327.std	p1327.std	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.std	
p1327.std	p1327.std	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.std	
p1327.alias	p1327.alias	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.alias	
p1327.alias	p1327.alias	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.alias	
p1327.alias	p1327.alias	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.alias	
p1327.alias	p1327.alias	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.alias	
p1327.calc	p1327.calc	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.calc	
p1327.calc	p1327.calc	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.calc	
p1327.calc	p1327.calc	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.calc	
p1327.calc	p1327.calc	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.calc	
p1327.ordinary	p1327.ordinary	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.ordinary	
p1327.ordinary	p1327.ordinary	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.ordinary	
p1327.ordinary	p1327.ordinary	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.ordinary	
p1327.ordinary	p1327.ordinary	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.ordinary	
p1327.math-name	p1327.math-name	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.math-name	
p1327.math-name	p1327.math-name	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.math-name	
p1327.math-name	p1327.math-name	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.math-name	
p1327.math-name	p1327.math-name	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.math-name	
p1327.shadow	p1327.shadow	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.shadow	
p1327.shadow	p1327.shadow	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.shadow	
p1327.shadow	p1327.shadow	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.shadow	
p1327.shadow	p1327.shadow	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.shadow	
p1327.closure	p1327.closure	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.closure	
p1327.closure	p1327.closure	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.closure	
p1327.closure	p1327.closure	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.closure	
p1327.closure	p1327.closure	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.closure	
p1327.same-span-twice	p1327.same-span-twice	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.same-span-twice	
p1327.same-span-twice	p1327.same-span-twice	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.same-span-twice	
p1327.same-span-twice	p1327.same-span-twice	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.same-span-twice	
p1327.same-span-twice	p1327.same-span-twice	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.same-span-twice	
p1327.distinct-spans	p1327.distinct-spans	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.distinct-spans	
p1327.distinct-spans	p1327.distinct-spans	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.distinct-spans	
p1327.distinct-spans	p1327.distinct-spans	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.distinct-spans	
p1327.distinct-spans	p1327.distinct-spans	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.distinct-spans	
p1327.utf8-offset	p1327.utf8-offset	default	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.utf8-offset	
p1327.utf8-offset	p1327.utf8-offset	html	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.utf8-offset	
p1327.utf8-offset	p1327.utf8-offset	a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.utf8-offset	
p1327.utf8-offset	p1327.utf8-offset	html+a11y	NOT_IN_P1322	MATCH_VALUE			ADDED_SUPPLEMENT	false	false	supplement	00_nucleo/diagnosticos/p1335-sentinels-normal-r3.json#p1327.utf8-offset	
